,Subject,ProgrammingStyle,Comprehension,ResponseTime,Algorithm,Flag,Correctness
136,709,R,BU,147.0,ReverseString,nan,True
138,732,R,BU,108.0,ReverseString,nan,True
139,736,R,BU,306.0,ReverseString,nan,True
140,749,R,BU,226.0,ReverseString,nan,True
141,750,R,BU,141.0,ReverseString,nan,True
142,764,R,BU,231.51572327044025,ReverseString,Outlier,False
143,769,R,BU,119.0,ReverseString,nan,False
144,784,R,BU,118.0,ReverseString,nan,True
145,788,R,BU,128.0,ReverseString,nan,True
146,792,R,BU,105.0,ReverseString,nan,True
147,806,R,BU,126.0,ReverseString,nan,True
148,829,R,BU,513.0,ReverseString,nan,False
149,841,R,BU,126.0,ReverseString,nan,False
150,857,R,BU,215.0,ReverseString,nan,False
151,858,R,BU,83.0,ReverseString,nan,False
152,868,R,BU,480.0,ReverseString,nan,False
153,877,R,BU,98.0,ReverseString,nan,False
154,889,R,BU,69.0,ReverseString,nan,True
155,895,R,BU,69.0,ReverseString,nan,True
156,938,R,BU,231.51572327044025,ReverseString,Outlier,True
157,948,R,BU,174.0,ReverseString,nan,True
158,949,R,BU,97.0,ReverseString,nan,False
159,653,I,BU,183.0,BinarySearch,nan,True
161,730,I,BU,46.0,BinarySearch,nan,False
162,735,I,BU,99.0,BinarySearch,nan,False
163,744,I,BU,100.0,BinarySearch,nan,False
164,759,I,BU,139.0,BinarySearch,nan,False
165,762,I,BU,143.0,BinarySearch,nan,False
166,803,I,BU,133.0,BinarySearch,nan,False
167,830,I,BU,276.0,BinarySearch,nan,False
168,834,I,BU,180.0,BinarySearch,nan,False
169,853,I,BU,174.0,BinarySearch,nan,False
170,888,I,BU,350.0,BinarySearch,nan,False
171,941,I,BU,580.0,BinarySearch,nan,True
173,653,I,BU,163.0,BubbleSort,nan,True
175,707,I,BU,66.0,BubbleSort,nan,True
176,717,I,BU,231.475,BubbleSort,Outlier,False
177,730,I,BU,82.0,BubbleSort,nan,False
178,735,I,BU,264.0,BubbleSort,nan,False
179,740,I,BU,162.0,BubbleSort,nan,False
180,744,I,BU,140.0,BubbleSort,nan,True
181,759,I,BU,69.0,BubbleSort,nan,False
182,762,I,BU,151.0,BubbleSort,nan,False
183,768,I,BU,170.0,BubbleSort,nan,False
184,782,I,BU,177.0,BubbleSort,nan,False
185,787,I,BU,368.0,BubbleSort,nan,True
186,803,I,BU,180.0,BubbleSort,nan,False
187,804,I,BU,665.0,BubbleSort,notNormal,False
189,830,I,BU,228.0,BubbleSort,nan,False
190,834,I,BU,108.0,BubbleSort,nan,False
191,851,I,BU,71.0,BubbleSort,nan,False
192,853,I,BU,204.0,BubbleSort,nan,False
193,867,I,BU,354.0,BubbleSort,nan,True
194,880,I,BU,175.0,BubbleSort,nan,False
195,888,I,BU,286.0,BubbleSort,nan,True
196,898,I,BU,698.0,BubbleSort,notNormal,True
197,941,I,BU,213.0,BubbleSort,nan,False
199,638,I,BU,76.0,Factorial,nan,True
200,696,I,BU,45.0,Factorial,nan,True
201,706,I,BU,107.0,Factorial,nan,False
202,708,I,BU,73.0,Factorial,nan,False
203,709,I,BU,237.0,Factorial,nan,True
205,732,I,BU,92.0,Factorial,nan,True
206,736,I,BU,42.0,Factorial,nan,True
207,749,I,BU,122.0,Factorial,nan,True
208,750,I,BU,269.0,Factorial,nan,True
209,764,I,BU,233.0,Factorial,nan,False
210,769,I,BU,71.0,Factorial,nan,True
211,784,I,BU,83.0,Factorial,nan,True
212,788,I,BU,221.0,Factorial,nan,True
213,791,I,BU,66.0,Factorial,nan,True
214,792,I,BU,298.0,Factorial,nan,True
215,806,I,BU,117.0,Factorial,nan,True
216,816,I,BU,116.0,Factorial,nan,True
217,829,I,BU,184.0,Factorial,nan,True
218,841,I,BU,57.0,Factorial,nan,True
219,850,I,BU,9.0,Factorial,nan,True
220,857,I,BU,97.0,Factorial,nan,True
221,858,I,BU,78.0,Factorial,nan,True
222,868,I,BU,183.0,Factorial,nan,True
223,877,I,BU,61.0,Factorial,nan,True
224,889,I,BU,80.0,Factorial,nan,True
225,895,I,BU,158.0,Factorial,nan,True
226,938,I,BU,97.0,Factorial,nan,True
227,948,I,BU,313.0,Factorial,nan,True
228,949,I,BU,103.0,Factorial,nan,True
229,643,I,BU,210.0,Fibonacci,nan,True
230,694,I,BU,97.0,Fibonacci,nan,False
231,704,I,BU,453.0,Fibonacci,nan,True
232,715,I,BU,612.0,Fibonacci,notNormal,True
233,733,I,BU,177.0,Fibonacci,nan,True
234,739,I,BU,186.0,Fibonacci,nan,False
235,748,I,BU,268.0,Fibonacci,nan,True
236,756,I,BU,155.0,Fibonacci,nan,True
237,757,I,BU,44.0,Fibonacci,nan,True
238,780,I,BU,97.0,Fibonacci,nan,True
240,789,I,BU,114.0,Fibonacci,nan,False
241,801,I,BU,189.0,Fibonacci,nan,True
242,813,I,BU,224.0,Fibonacci,nan,True
243,815,I,BU,295.0,Fibonacci,nan,True
244,831,I,BU,136.0,Fibonacci,nan,False
245,832,I,BU,140.0,Fibonacci,nan,True
246,833,I,BU,100.0,Fibonacci,nan,False
247,854,I,BU,180.0,Fibonacci,nan,False
248,855,I,BU,246.0,Fibonacci,nan,False
249,875,I,BU,306.0,Fibonacci,nan,True
250,876,I,BU,445.0,Fibonacci,nan,True
251,900,I,BU,111.0,Fibonacci,nan,True
252,939,I,BU,146.0,Fibonacci,nan,True
253,945,I,BU,159.0,Fibonacci,nan,True
254,638,I,BU,155.0,IntegerBinary,nan,False
256,750,I,BU,212.0,IntegerBinary,nan,True
257,784,I,BU,223.0,IntegerBinary,nan,True
258,792,I,BU,125.0,IntegerBinary,nan,False
259,829,I,BU,378.0,IntegerBinary,nan,True
260,841,I,BU,61.0,IntegerBinary,nan,True
261,857,I,BU,239.0,IntegerBinary,nan,True
262,938,I,BU,403.0,IntegerBinary,nan,True
263,631,I,BU,117.0,MultiplyMatrix,nan,True
264,699,I,BU,227.0,MultiplyMatrix,nan,True
265,700,I,BU,58.0,MultiplyMatrix,nan,False
267,761,I,BU,68.0,MultiplyMatrix,nan,False
268,767,I,BU,51.0,MultiplyMatrix,nan,False
269,837,I,BU,362.0,MultiplyMatrix,nan,True
271,859,I,BU,353.0,MultiplyMatrix,nan,True
272,860,I,BU,469.0,MultiplyMatrix,nan,True
273,886,I,BU,231.475,MultiplyMatrix,Outlier,True
274,958,I,BU,169.0,MultiplyMatrix,nan,True
275,694,I,BU,259.0,PrimeFactors,nan,False
276,704,I,BU,262.0,PrimeFactors,nan,False
277,739,I,BU,269.0,PrimeFactors,nan,False
278,757,I,BU,139.0,PrimeFactors,nan,True
